SynchronizedSpaceship 1 r/1 w totalReads Ø 7.34, σ 4.91 totalMoves Ø 16.72, σ 4.6 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.54, σ 0.43
SynchronizedSpaceship 1 r/2 w totalReads Ø 4.95, σ 0.69 totalMoves Ø 16.59, σ 1.1 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.71, σ 0.1
SynchronizedSpaceship 1 r/4 w totalReads Ø 2.83, σ 0.36 totalMoves Ø 18.25, σ 0.65 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.46, σ 0.06
SynchronizedSpaceship 2 r/1 w totalReads Ø 12.43, σ 1.53 totalMoves Ø 9.73, σ 1.78 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.74, σ 0.11
SynchronizedSpaceship 2 r/2 w totalReads Ø 9.11, σ 1.13 totalMoves Ø 12.42, σ 1.44 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.75, σ 0.14
SynchronizedSpaceship 2 r/4 w totalReads Ø 5.25, σ 0.49 totalMoves Ø 16.12, σ 0.82 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.55, σ 0.08
SynchronizedSpaceship 4 r/1 w totalReads Ø 15.11, σ 0.73 totalMoves Ø 5.82, σ 0.79 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.68, σ 0.06
SynchronizedSpaceship 4 r/2 w totalReads Ø 11.67, σ 0.65 totalMoves Ø 9.07, σ 0.76 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.83, σ 0.08
SynchronizedSpaceship 4 r/4 w totalReads Ø 7.92, σ 0.49 totalMoves Ø 12.92, σ 0.66 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.78, σ 0.08
ReadWriteLockSpaceShip 1 r/1 w totalReads Ø 6.09, σ 0.15 totalMoves Ø 7.6, σ 0.18 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 1.05, σ 0.02
ReadWriteLockSpaceShip 1 r/2 w totalReads Ø 0.16, σ 0 totalMoves Ø 29.06, σ 1.31 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.15, σ 0
ReadWriteLockSpaceShip 1 r/4 w totalReads Ø 0.07, σ 0 totalMoves Ø 30.38, σ 1.29 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.07, σ 0
ReadWriteLockSpaceShip 2 r/1 w totalReads Ø 9.32, σ 0.46 totalMoves Ø 9.11, σ 0.88 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.23, σ 0.01
ReadWriteLockSpaceShip 2 r/2 w totalReads Ø 6.77, σ 0.34 totalMoves Ø 15.51, σ 0.6 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.16, σ 0
ReadWriteLockSpaceShip 2 r/4 w totalReads Ø 3.99, σ 0.19 totalMoves Ø 19.97, σ 0.46 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.1, σ 0
ReadWriteLockSpaceShip 4 r/1 w totalReads Ø 9.01, σ 0.11 totalMoves Ø 4.72, σ 0.3 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.25, σ 0
ReadWriteLockSpaceShip 4 r/2 w totalReads Ø 7.3, σ 0.12 totalMoves Ø 9.18, σ 0.33 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.2, σ 0
ReadWriteLockSpaceShip 4 r/4 w totalReads Ø 5.31, σ 0.13 totalMoves Ø 13.68, σ 0.43 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.15, σ 0
ReentrantLockSpaceship 1 r/1 w totalReads Ø 7.78, σ 0.2 totalMoves Ø 8.22, σ 0.22 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 1.03, σ 0.04
ReentrantLockSpaceship 1 r/2 w totalReads Ø 9, σ 1.75 totalMoves Ø 21.37, σ 2.32 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.2, σ 0.01
ReentrantLockSpaceship 1 r/4 w totalReads Ø 5.31, σ 1.03 totalMoves Ø 26.44, σ 1.4 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.11, σ 0.01
ReentrantLockSpaceship 2 r/1 w totalReads Ø 16.93, σ 1.23 totalMoves Ø 11.29, σ 0.72 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.27, σ 0.01
ReentrantLockSpaceship 2 r/2 w totalReads Ø 13.99, σ 3 totalMoves Ø 15.01, σ 3.22 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.21, σ 0.01
ReentrantLockSpaceship 2 r/4 w totalReads Ø 7.33, σ 1.38 totalMoves Ø 19.85, σ 1.5 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.14, σ 0.01
ReentrantLockSpaceship 4 r/1 w totalReads Ø 18.61, σ 0.91 totalMoves Ø 6.63, σ 1.22 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.28, σ 0
ReentrantLockSpaceship 4 r/2 w totalReads Ø 14.45, σ 1.11 totalMoves Ø 10.73, σ 1.44 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.25, σ 0
ReentrantLockSpaceship 4 r/4 w totalReads Ø 10.51, σ 0.99 totalMoves Ø 14.9, σ 1.23 totalReadAttempts Ø 1, σ 0 totalMoveAttempts Ø 1, σ 0 totalObservedMoves Ø 0.2, σ 0
